,sales_id,order_id,product_id,price_per_unit,quantity_x,total_price,customer_id,payment,order_date,delivery_date,customer_name,gender,age,home_address,zip_code,city,state,country,order_month,order_day_name,order_quarter,product_ID,product_type,product_name,size,colour,price,quantity_y,description
0,0,1,218,106,2,212,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,8,Monday,3,218,Shirt,Chambray,L,orange,105,44,"A orange coloured, L sized, Chambray Shirt"
1,1,1,481,118,1,118,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,8,Monday,3,481,Jacket,Puffer,S,indigo,110,62,"A indigo coloured, S sized, Puffer Jacket"
2,2,1,2,96,3,288,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,8,Monday,3,2,Shirt,Oxford Cloth,M,red,114,54,"A red coloured, M sized, Oxford Cloth Shirt"
3,3,1,1002,106,2,212,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,8,Monday,3,1002,Trousers,Wool,M,blue,111,52,"A blue coloured, M sized, Wool Trousers"
4,4,1,691,113,3,339,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,8,Monday,3,691,Jacket,Parka,S,indigo,119,53,"A indigo coloured, S sized, Parka Jacket"
5,5,1,981,106,3,318,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,8,Monday,3,981,Trousers,Wool,S,red,111,65,"A red coloured, S sized, Wool Trousers"
6,6,2,915,96,1,96,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,2,Wednesday,1,915,Trousers,Drawstring,XS,orange,104,41,"A orange coloured, XS sized, Drawstring Trousers"
7,7,2,686,113,1,113,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,2,Wednesday,1,686,Jacket,Parka,S,blue,119,72,"A blue coloured, S sized, Parka Jacket"
8,8,2,1091,115,3,345,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,2,Wednesday,1,1091,Trousers,Cropped,S,orange,99,78,"A orange coloured, S sized, Cropped Trousers"
9,9,2,1196,105,1,105,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,2,Wednesday,1,1196,Trousers,Pleated,S,orange,90,72,"A orange coloured, S sized, Pleated Trousers"
10,10,2,157,91,3,273,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,2,Wednesday,1,157,Shirt,Linen,M,green,116,42,"A green coloured, M sized, Linen Shirt"
11,11,2,1174,99,2,198,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,2,Wednesday,1,1174,Trousers,High-Waisted,XL,green,98,78,"A green coloured, XL sized, High-Waisted Trousers"
12,12,3,54,104,1,104,774,46763,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,10,Friday,4,54,Shirt,Dress,XL,green,119,52,"A green coloured, XL sized, Dress Shirt"
13,13,3,6,96,2,192,774,46763,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,10,Friday,4,6,Shirt,Oxford Cloth,S,orange,114,72,"A orange coloured, S sized, Oxford Cloth Shirt"
14,14,3,1010,106,2,212,774,46763,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,10,Friday,4,1010,Trousers,Wool,XS,violet,111,80,"A violet coloured, XS sized, Wool Trousers"
