,order_id,customer_id,payment,order_date,delivery_date,customer_name,gender,age,home_address,zip_code,city,state,country,order_month,order_day_name,order_quarter
0,1,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,8,Monday,3
1,2,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,2,Wednesday,1
2,3,774,46763,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,10,Friday,4
3,4,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,5,Thursday,2
4,5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,3,Tuesday,1
5,6,800,16197,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,9,Thursday,3
6,7,626,37666,2021-04-05,2021-04-11,Tann Scothron,Genderqueer,64,72 Hunter Station StApt. 220,1807,Walterstad,New South Wales,Australia,4,Monday,2
7,8,58,28484,2021-04-12,2021-05-01,Aurie Margett,Agender,39,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia,4,Monday,2
8,9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,5,Saturday,2
9,10,659,21922,2021-10-15,2021-10-16,Ira Dafforne,Non-binary,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,10,Friday,4
10,11,785,36624,2021-06-15,2021-06-30,Jillana Blankau,Genderfluid,54,82 Beahan BoulevardSuite 281,2683,Port Adamburgh,Northern Territory,Australia,6,Tuesday,2
11,12,120,55507,2021-06-30,2021-07-11,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,6,Wednesday,2
12,13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,10,Friday,4
13,14,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,3,Monday,1
14,15,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,9,Wednesday,3
15,16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,7,Wednesday,3
16,17,614,51822,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,2,Tuesday,1
17,18,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,1,Friday,1
18,19,513,56754,2021-08-30,2021-09-10,Corri Womack,Non-binary,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,8,Monday,3
19,20,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,1,Wednesday,1
20,21,124,11261,2021-04-04,2021-04-17,Pate De Ambrosis,Non-binary,54,65 Eli AvenueApt. 473,4983,Donnellyfort,New South Wales,Australia,4,Sunday,2
21,22,180,36088,2021-05-28,2021-06-09,Nelli Engall,Genderfluid,21,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia,5,Friday,2
22,23,652,45711,2021-05-17,2021-05-22,Roley Cassedy,Male,63,59 Abbott CircuitApt. 084,9830,North Isabelleside,South Australia,Australia,5,Monday,2
23,24,469,14566,2021-09-04,2021-09-20,Faber Purcell,Female,78,783 Olivia CrescentSuite 877,5011,Andrewborough,New South Wales,Australia,9,Saturday,3
24,25,562,47075,2021-07-04,2021-07-08,Joy Mirrlees,Agender,58,04 Spencer MallApt. 910,8257,West Rubyland,Queensland,Australia,7,Sunday,3
25,26,732,15964,2021-04-25,2021-05-04,Gorden Seago,Genderfluid,80,905 Stephanie BoulevardApt. 217,8114,Port Aaronton,Queensland,Australia,4,Sunday,2
26,27,443,35513,2021-05-16,2021-05-28,Melodee Spencley,Bigender,49,033 Mitchell IslandApt. 732,9651,Crooksshire,Victoria,Australia,5,Sunday,2
27,28,206,29968,2021-08-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia,8,Thursday,3
28,29,993,57645,2021-03-22,2021-03-28,Orella Singyard,Polygender,24,327 Abby CircleApt. 055,536,Michaelberg,Victoria,Australia,3,Monday,1
29,30,260,59350,2021-07-07,2021-07-26,Whitney Scarman,Female,27,01 D'amore ManorSuite 692,3012,Trompview,Tasmania,Australia,7,Wednesday,3
30,31,727,15722,2021-03-11,2021-04-05,Herschel Verdey,Female,26,2752 Lily RoadApt. 721,3249,Jacobport,New South Wales,Australia,3,Thursday,1
31,32,627,24976,2021-06-17,2021-07-14,Codie Everly,Genderfluid,51,66 Isla CrescentApt. 573,7404,Port Christopher,South Australia,Australia,6,Thursday,2
32,33,588,52945,2021-07-01,2021-07-07,Nicole Cheel,Genderfluid,48,550 Alexis BoulevardSuite 124,9614,West Danieltown,Victoria,Australia,7,Thursday,3
33,34,412,36244,2021-05-23,2021-05-30,Chandal Fransinelli,Polygender,21,7048 Barrows CrescentSuite 562,238,Hackettchester,South Australia,Australia,5,Sunday,2
34,35,358,49665,2021-08-31,2021-09-07,Jermaine Goranov,Genderfluid,64,9937 Oliver CircleApt. 655,6842,Kreigerbury,Northern Territory,Australia,8,Tuesday,3
35,36,51,32494,2021-08-22,2021-09-04,Kayley Brosoli,Non-binary,52,59 Hand ManorApt. 544,6322,South Evaport,Northern Territory,Australia,8,Sunday,3
36,37,78,53949,2021-07-07,2021-07-18,Jethro Pollak,Genderqueer,38,7812 Towne GroveSuite 233,7232,Lake Alihaven,Northern Territory,Australia,7,Wednesday,3
37,38,809,46219,2021-02-03,2021-02-19,Winn Siemandl,Bigender,76,443 Holly AvenueSuite 631,8563,South Tyler,Tasmania,Australia,2,Wednesday,1
38,39,466,23990,2021-02-26,2021-03-20,Vinnie Feaver,Male,28,18 Jack JunctionSuite 575,7356,North Justin,South Australia,Australia,2,Friday,1
39,40,86,56657,2021-01-07,2021-01-19,Corinna Maystone,Non-binary,76,040 Savannah GroveSuite 967,9337,Gleasonport,Tasmania,Australia,1,Thursday,1
40,41,790,53386,2021-01-03,2021-01-09,Drake Ivanilov,Genderqueer,67,107 Wilkinson ParkwaySuite 249,6313,Nathanfort,Australian Capital Territory,Australia,1,Sunday,1
41,42,690,33993,2021-07-29,2021-08-02,Arlie Bowman,Genderqueer,34,04 Christian RidgeApt. 329,6697,Port Annabelle,Northern Territory,Australia,7,Thursday,3
42,43,570,22839,2021-07-13,2021-08-03,Henryetta Sheffield,Genderqueer,35,164 Bruen MallSuite 043,4468,New Masonstad,New South Wales,Australia,7,Tuesday,3
43,44,849,17071,2021-09-07,2021-09-22,Gina Pollen,Male,29,22 Welch DriveSuite 750,8453,Lake Gabrielview,New South Wales,Australia,9,Tuesday,3
44,45,571,21738,2021-05-30,2021-06-21,Kristofor Roos,Agender,22,5567 Clarke MallApt. 756,4043,Jordanside,Australian Capital Territory,Australia,5,Sunday,2
45,46,922,25378,2021-06-22,2021-07-04,Adena Venn,Polygender,53,048 Kayla RoadSuite 099,839,Jordanburgh,Victoria,Australia,6,Tuesday,2
46,47,791,35453,2021-04-21,2021-04-23,Jojo Toffanini,Agender,34,3285 Kai MewsApt. 727,8839,Elijahshire,Queensland,Australia,4,Wednesday,2
47,48,620,31712,2021-04-16,2021-04-23,Phillipe Gatecliffe,Male,35,150 Nate LoopApt. 614,902,Jettstad,Australian Capital Territory,Australia,4,Friday,2
48,49,336,24219,2021-01-22,2021-02-13,Julian Sponer,Male,35,745 Jack CourtApt. 737,3647,Port Madison,Australian Capital Territory,Australia,1,Friday,1
49,50,454,50310,2021-09-16,2021-09-18,Abey Bampforth,Genderfluid,28,3543 Jack GroveApt. 595,3276,Port Isabellafurt,New South Wales,Australia,9,Thursday,3
50,51,399,18423,2021-02-19,2021-02-26,Ailene McKeller,Agender,46,9444 Casper RidgeApt. 537,8209,South Logan,Western Australia,Australia,2,Friday,1
51,52,493,32155,2021-10-06,2021-10-29,Andrew Renn,Bigender,63,761 Mckenzie BoulevardSuite 489,1696,Port Natalie,Victoria,Australia,10,Wednesday,4
52,53,528,10517,2021-04-22,2021-05-02,Cad Dominichetti,Non-binary,63,556 Jacobson PlaceApt. 974,1126,Lake Madelineton,Western Australia,Australia,4,Thursday,2
53,54,195,13681,2021-04-25,2021-05-17,Tobye De Caville,Genderfluid,72,987 Charlotte MewsApt. 591,6036,West Baileyville,New South Wales,Australia,4,Sunday,2
54,55,873,55650,2021-04-08,2021-04-25,Cecilla Pigford,Non-binary,38,5538 Jett MallSuite 854,5510,Samanthatown,Western Australia,Australia,4,Thursday,2
