,sales_id,order_id,product_id,price_per_unit,quantity,total_price,customer_id,payment,order_date,delivery_date,customer_name,gender,age,home_address,zip_code,city,state,country,order_month,order_day_name,order_quarter
0,0,1,218,106,2,212,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,8,Monday,3
1,1,1,481,118,1,118,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,8,Monday,3
2,2,1,2,96,3,288,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,8,Monday,3
3,3,1,1002,106,2,212,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,8,Monday,3
4,4,1,691,113,3,339,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,8,Monday,3
5,5,1,981,106,3,318,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,8,Monday,3
6,6,2,915,96,1,96,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,2,Wednesday,1
7,7,2,686,113,1,113,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,2,Wednesday,1
8,8,2,1091,115,3,345,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,2,Wednesday,1
9,9,2,1196,105,1,105,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,2,Wednesday,1
10,10,2,157,91,3,273,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,2,Wednesday,1
11,11,2,1174,99,2,198,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,2,Wednesday,1
12,12,3,54,104,1,104,774,46763,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,10,Friday,4
13,13,3,6,96,2,192,774,46763,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,10,Friday,4
14,14,3,1010,106,2,212,774,46763,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,10,Friday,4
15,15,4,1033,90,1,90,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,5,Thursday,2
16,16,4,1184,99,3,297,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,5,Thursday,2
17,17,4,769,109,1,109,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,5,Thursday,2
18,18,4,923,96,3,288,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,5,Thursday,2
19,19,4,12,96,2,192,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,5,Thursday,2
